"","Player","Age","Minutes.Played","Field.goal.perc","Three.points.perc","Two.points.perc","Free.Throw.perc","Rebounds","Asists","Steals","Blocks","Turnovers","Personal.fouls","Points"
"65","J.J. Redick",34,31.3,0.44,0.397,0.502,0.894,2.4,2.7,0.4,0.2,1.3,1.7,18.1
"66","Josh Richardson",25,34.8,0.412,0.357,0.458,0.861,3.6,4.1,1.1,0.5,1.5,2.7,16.6
"67","D'Angelo Russell",22,30.2,0.434,0.369,0.482,0.78,3.9,7,1.2,0.2,3.1,1.7,21.1
"68","JaKarr Sampson",25,31.8,0.537,0.357,0.6,0.81,8,1,1,0.8,1,2,20
"69","Collin Sexton",20,31.8,0.43,0.402,0.44,0.839,2.9,3,0.5,0.1,2.3,2.3,16.7
"70","Pascal Siakam",24,31.9,0.549,0.369,0.602,0.785,6.9,3.1,0.9,0.7,1.9,3,16.9
"71","Ben Simmons",22,34.2,0.563,0,0.566,0.6,8.8,7.7,1.4,0.8,3.5,2.6,16.9
"72","Jayson Tatum",20,31.1,0.45,0.373,0.483,0.855,6,2.1,1.1,0.7,1.5,2.1,15.7
"73","Jeff Teague",30,30.1,0.423,0.333,0.453,0.804,2.5,8.2,1,0.4,2.3,2.1,12.1
"74","Klay Thompson",28,34,0.467,0.402,0.516,0.816,3.8,2.4,1.1,0.6,1.5,2,21.5
"75","Karl-Anthony Towns",23,33.1,0.518,0.4,0.562,0.836,12.4,3.4,0.9,1.6,3.1,3.8,24.4
"76","P.J. Tucker",33,34.2,0.396,0.377,0.449,0.695,5.8,1.2,1.6,0.5,0.8,3.1,7.3
"77","Nikola Vu?evi?",28,31.4,0.518,0.364,0.549,0.789,12,3.8,1,1.1,2,2,20.8
"78","Kemba Walker",28,34.9,0.434,0.356,0.494,0.844,4.4,5.9,1.2,0.4,2.6,1.6,25.6
"79","John Wall",28,34.5,0.444,0.302,0.507,0.697,3.6,8.7,1.5,0.9,3.8,2.2,20.7
"80","T.J. Warren",25,31.6,0.486,0.428,0.51,0.815,4,1.5,1.2,0.7,1.2,2.8,18
"81","Russell Westbrook",30,36,0.428,0.29,0.481,0.656,11.1,10.7,1.9,0.5,4.5,3.4,22.9
"82","Andrew Wiggins",23,34.8,0.412,0.339,0.441,0.699,4.8,2.5,1,0.7,1.9,2.1,18.1
"83","Thaddeus Young",30,30.7,0.527,0.349,0.564,0.644,6.5,2.5,1.5,0.4,1.5,2.4,12.6
"84","Trae Young",20,30.9,0.418,0.324,0.477,0.829,3.7,8.1,0.9,0.2,3.8,1.7,19.1
